Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
782,Intel Core i7-4860HQ,CPU,2014-02-01,22.0,47.0,264.0,1400.0,2400.0,Intel,Intel,,,
783,Intel Core i7-8750H,CPU,2018-04-02,14.0,45.0,149.0,,2200.0,Intel,Intel,,,
784,AMD Turion X2 RM-72,CPU,2008-09-01,65.0,35.0,,,2100.0,Unknown,AMD,,,
785,AMD Athlon 64 FX-72,CPU,2006-11-30,90.0,125.0,235.0,227.0,2800.0,Unknown,AMD,,,
786,Intel Atom Z670,CPU,2011-04-11,45.0,3.0,65.0,140.0,1500.0,Intel,Intel,,,
787,AMD Opteron 146,CPU,2005-08-02,90.0,67.0,,106.0,2000.0,Unknown,AMD,,,
788,Intel Core i3-2312M,CPU,2011-03-01,32.0,35.0,149.0,624.0,2100.0,Intel,Intel,,,
789,AMD Athlon 64 X2 4600+,CPU,2006-05-23,90.0,110.0,156.0,154.0,2400.0,Unknown,AMD,,,
790,Intel Core i7-11700F,CPU,2021-03-16,14.0,65.0,,,2500.0,Intel,Intel,,,
791,AMD Athlon XP 2400+,CPU,2003-09-01,130.0,68.0,,63.0,2000.0,Unknown,AMD,,,
792,Intel Core i7-5600U,CPU,2015-03-01,14.0,15.0,,,2600.0,Intel,Intel,,,
793,Intel Core i3-560,CPU,2010-08-29,32.0,73.0,81.0,382.0,3333.0,Intel,Intel,,,
794,AMD E2-3000M,CPU,2011-12-20,32.0,35.0,228.0,1178.0,1800.0,Unknown,AMD,,,
795,AMD FX-8370E,CPU,2014-09-02,32.0,95.0,315.0,1200.0,3300.0,Unknown,AMD,,,
796,AMD Athlon XP 2000+,CPU,2002-06-10,130.0,60.0,80.0,37.0,1667.0,Unknown,AMD,,,
797,Intel Celeron E1200,CPU,2008-01-20,65.0,65.0,77.0,105.0,1600.0,Intel,Intel,,,
798,Intel Core i3-2100,CPU,2011-02-20,32.0,65.0,131.0,504.0,3100.0,Intel,Intel,,,
799,AMD Ryzen 5 PRO 4650G,CPU,2020-07-21,7.0,65.0,,,3700.0,TSMC,AMD,,,
800,Intel Core i9-7920X,CPU,2017-09-10,14.0,140.0,,,2900.0,Intel,Intel,,,
801,AMD Sempron 2400+,CPU,2004-08-01,130.0,62.0,80.0,37.0,1667.0,Unknown,AMD,,,
802,Intel Celeron B730,CPU,2012-07-01,32.0,35.0,131.0,504.0,1800.0,Intel,Intel,,,
803,AMD C-60,CPU,2011-08-22,40.0,9.0,75.0,,1000.0,Unknown,AMD,,,
804,Intel Celeron 2955U,CPU,2013-09-01,22.0,15.0,118.0,1400.0,1400.0,Intel,Intel,,,
805,Intel Xeon L5618,CPU,2010-03-16,32.0,40.0,239.0,1170.0,1866.0,Intel,Intel,,,
806,Intel Core i5-5250U,CPU,2015-03-01,14.0,15.0,,,1600.0,Intel,Intel,,,
807,AMD Athlon 64 3200+,CPU,2006-05-23,90.0,62.0,183.0,154.0,2000.0,Unknown,AMD,,,
808,AMD Ryzen Threadripper 2990WX,CPU,2018-08-13,12.0,250.0,213.0,19200.0,3000.0,GF,AMD,,,
809,AMD A9-9420 SoC,CPU,2016-05-31,28.0,15.0,124.0,1200.0,3000.0,Unknown,AMD,,,
810,AMD Mobile Athlon 64 3700+,CPU,2005-08-01,130.0,82.0,193.0,106.0,2400.0,Unknown,AMD,,,
811,Intel Pentium 4 HT 521,CPU,2005-06-12,90.0,84.0,109.0,125.0,2800.0,Intel,Intel,,,
812,AMD Phenom II X4 900e,CPU,2009-06-02,45.0,65.0,258.0,758.0,2400.0,Unknown,AMD,,,
813,AMD A10-7870K,CPU,2015-05-28,28.0,95.0,246.0,1178.0,3900.0,Unknown,AMD,,,
814,Intel Xeon E5-1650 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3500.0,Intel,Intel,,,
815,AMD Phenom II X4 965 BE (140W),CPU,2009-08-13,45.0,140.0,258.0,758.0,3400.0,Unknown,AMD,,,
816,AMD Ryzen Threadripper 1950,CPU,2017-07-29,14.0,180.0,213.0,9600.0,3200.0,GF,AMD,,,
817,AMD Athlon II X4 605e,CPU,2009-10-20,45.0,45.0,169.0,300.0,2300.0,Unknown,AMD,,,
818,Intel Core i5-1035G4,CPU,2019-08-01,10.0,25.0,,,1100.0,Intel,Intel,,,
819,Intel Core i3-1115G4,CPU,2020-09-02,10.0,28.0,,,3000.0,Intel,Intel,,,
820,Intel Xeon Silver 4310,CPU,2021-04-06,10.0,120.0,,,2100.0,Intel,Intel,,,
821,AMD Ryzen 7 3780U,CPU,2019-10-22,12.0,15.0,210.0,4940.0,2300.0,GF,AMD,,,
822,AMD Athlon 1400,CPU,2001-06-06,180.0,72.0,120.0,37.0,1400.0,Unknown,AMD,,,
823,AMD Phenom II X4 965 BE (125W),CPU,2009-11-07,45.0,125.0,258.0,758.0,3400.0,Unknown,AMD,,,
824,Intel Core i3-10105F,CPU,2021-03-16,14.0,65.0,,,3700.0,Intel,Intel,,,
825,Intel Pentium 4 HT 662,CPU,2005-11-14,90.0,84.0,109.0,169.0,3600.0,Intel,Intel,,,
826,Intel Xeon 5050,CPU,2006-05-23,65.0,95.0,,,3000.0,Intel,Intel,,,
827,AMD Sempron X2 2200,CPU,2008-03-01,65.0,65.0,118.0,221.0,2000.0,Unknown,AMD,,,
828,AMD Opteron 246 HE,CPU,2004-02-14,130.0,55.0,193.0,106.0,2000.0,Unknown,AMD,,,
829,AMD Athlon 64 3200+,CPU,2005-04-14,130.0,83.0,,105.0,2000.0,Unknown,AMD,,,
830,AMD Opteron 850 HE,CPU,2005-03-01,90.0,55.0,,106.0,2400.0,Unknown,AMD,,,
831,Intel Xeon Phi 7290F,CPU,2016-06-20,14.0,260.0,,8000.0,1500.0,Intel,Intel,,,
832,Intel Core i5-8600T,CPU,2018-04-02,14.0,35.0,,,2300.0,Intel,Intel,,,
833,AMD Ryzen 7 4800U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,1800.0,TSMC,AMD,,,
834,AMD Phenom II X2 570 BE,CPU,2010-05-03,45.0,80.0,258.0,758.0,3500.0,Unknown,AMD,,,
835,Intel Xeon Gold 6314U,CPU,2021-04-06,10.0,205.0,,,2300.0,Intel,Intel,,,
836,Intel Atom E620,CPU,2010-09-14,45.0,3.0,26.0,47.0,600.0,Intel,Intel,,,
837,AMD Opteron 842,CPU,2004-05-18,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,
838,AMD A8-5545M,CPU,2013-06-01,32.0,25.0,246.0,1178.0,1700.0,Unknown,AMD,,,
839,Intel Core i7-8700T,CPU,2018-04-02,14.0,35.0,154.0,,2400.0,Intel,Intel,,,
840,AMD Athlon 64 2800+,CPU,2004-04-27,130.0,89.0,193.0,69.0,1800.0,Unknown,AMD,,,
841,AMD Athlon 64 3500+,CPU,2005-04-04,90.0,67.0,83.0,69.0,2200.0,Unknown,AMD,,,
842,AMD Athlon 64 X2 5400+,CPU,2006-12-12,90.0,89.0,220.0,154.0,2800.0,Unknown,AMD,,,
843,AMD A6-3500,CPU,2011-08-17,32.0,65.0,228.0,1178.0,2100.0,Unknown,AMD,,,
844,AMD Athlon PRO 300U,CPU,2019-04-08,14.0,15.0,,,2400.0,GF,AMD,,,
845,Intel Atom E3827,CPU,2013-10-08,22.0,8.0,,,1750.0,Intel,Intel,,,
846,AMD A4-5000,CPU,2013-05-23,32.0,15.0,246.0,1178.0,1500.0,Unknown,AMD,,,
847,AMD Phenom II X4 805,CPU,2009-02-09,45.0,95.0,258.0,758.0,2500.0,Unknown,AMD,,,
848,Intel Core i7-10810U,CPU,2020-04-02,14.0,25.0,,,1100.0,Intel,Intel,,,
849,Intel Core i3-380M,CPU,2010-10-26,32.0,35.0,81.0,382.0,2534.0,Intel,Intel,,,
850,Intel Celeron P1053,CPU,2010-02-12,45.0,30.0,,,1333.0,Intel,Intel,,,
851,Intel Core i5-10600K,CPU,2020-04-30,14.0,125.0,,,4100.0,Intel,Intel,,,
852,AMD Athlon 300U,CPU,2019-01-06,14.0,15.0,,,2400.0,GF,AMD,,,
853,AMD Athlon PRO 200GE,CPU,2018-06-01,14.0,35.0,192.0,4800.0,3200.0,Unknown,AMD,,,
854,AMD Opteron 6378,CPU,2012-11-05,32.0,115.0,315.0,2400.0,2400.0,Unknown,AMD,,,
855,AMD Phenom II X4 975 BE,CPU,2011-01-04,45.0,125.0,258.0,758.0,3600.0,Unknown,AMD,,,
856,Intel Core i7-8650U,CPU,2017-08-21,14.0,15.0,123.0,,1900.0,Intel,Intel,,,
857,AMD Opteron 140 EE,CPU,2004-02-14,130.0,30.0,193.0,106.0,1400.0,Unknown,AMD,,,
858,Intel Atom Z540,CPU,2008-04-02,45.0,2.0,26.0,47.0,1867.0,Intel,Intel,,,
859,Intel Xeon E3-1290,CPU,2011-05-29,32.0,95.0,216.0,1160.0,3600.0,Intel,Intel,,,
860,AMD EPYC 7502P,CPU,2019-08-07,7.0,180.0,74.0,3800.0,2500.0,TSMC,AMD,,,
861,Intel Xeon E5520,CPU,2009-03-30,45.0,80.0,263.0,731.0,2266.0,Intel,Intel,,,
862,Intel Pentium 4 519K,CPU,2005-01-01,90.0,84.0,109.0,125.0,3060.0,Intel,Intel,,,
863,Intel Core 2 Solo ULV U2100,CPU,2007-09-01,65.0,5.0,143.0,291.0,1067.0,Intel,Intel,,,
864,AMD Opteron 148,CPU,2004-05-18,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,
865,AMD Sempron 3100+,CPU,2005-07-15,90.0,25.0,,69.0,1800.0,Unknown,AMD,,,
866,Intel Xeon MP 2.83,CPU,2005-03-29,90.0,135.0,,,2833.0,Intel,Intel,,,
867,AMD Athlon II X2 245,CPU,2009-07-23,45.0,65.0,117.0,410.0,2900.0,Unknown,AMD,,,
868,AMD Phenom II X4 840,CPU,2011-01-04,45.0,95.0,169.0,300.0,3200.0,Unknown,AMD,,,
869,Intel Xeon 7110N,CPU,2006-08-27,65.0,95.0,435.0,1328.0,2500.0,Intel,Intel,,,
870,Intel Core i5-2430M,CPU,2011-10-01,32.0,35.0,149.0,624.0,2400.0,Intel,Intel,,,
871,AMD Opteron X2 275 HE,CPU,2006-02-01,90.0,55.0,,233.0,2200.0,Unknown,AMD,,,
872,AMD Opteron 146,CPU,2005-08-02,90.0,67.0,,106.0,2000.0,Unknown,AMD,,,
873,AMD Opteron 6262 HE,CPU,2011-11-14,32.0,85.0,316.0,2400.0,1600.0,Unknown,AMD,,,
874,AMD Ryzen 9 3900XT,CPU,2020-07-07,7.0,105.0,74.0,3800.0,3900.0,TSMC,AMD,,,
875,Intel Core i7-3520M,CPU,2012-06-03,22.0,35.0,118.0,,2900.0,Intel,Intel,,,
876,Intel Core i3-1000G4,CPU,2019-08-01,10.0,12.0,,,1100.0,Intel,Intel,,,
877,AMD A8-9600,CPU,2017-07-27,28.0,65.0,246.0,1178.0,3100.0,Unknown,AMD,,,
878,Intel Xeon E7-8880 v3,CPU,2015-06-01,22.0,150.0,160.0,1400.0,2300.0,Intel,Intel,,,
879,AMD Ryzen 5 3500X,CPU,2019-09-24,7.0,65.0,74.0,3800.0,3600.0,TSMC,AMD,,,
880,AMD EPYC 7281,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2100.0,GF,AMD,,,
881,Intel Pentium 4 HT 516,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,,,
882,AMD Opteron 144,CPU,2004-05-18,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,
883,AMD Opteron X2 260 HE,CPU,2005-08-01,90.0,55.0,,233.0,1600.0,Unknown,AMD,,,
884,AMD Phenom X4 9150e,CPU,2008-07-01,65.0,65.0,285.0,450.0,1800.0,Unknown,AMD,,,
885,Intel Xeon E5-2450 v2,CPU,2013-09-01,22.0,95.0,160.0,1400.0,2500.0,Intel,Intel,,,
886,Intel Pentium III 1133,CPU,2001-06-01,180.0,29.0,80.0,44.0,1133.0,Intel,Intel,,,
887,Intel Xeon Platinum 8362,CPU,2021-04-06,10.0,265.0,,,2800.0,Intel,Intel,,,
888,AMD Athlon 64 3800+ (F3),CPU,2007-02-20,90.0,59.0,1.0,154.0,2400.0,Unknown,AMD,,,
889,Intel Core i3-7340,CPU,2017-07-17,14.0,51.0,,,4200.0,Intel,Intel,,,
890,AMD EPYC 7F72,CPU,2020-04-14,7.0,240.0,74.0,3800.0,3200.0,TSMC,AMD,,,
891,AMD Athlon X4 950,CPU,2017-07-27,28.0,65.0,246.0,1178.0,3500.0,Unknown,AMD,,,
892,AMD Ryzen 7 PRO 1700,CPU,2017-06-29,14.0,65.0,192.0,4800.0,3000.0,GF,AMD,,,
893,AMD A4-5145M,CPU,2013-06-01,32.0,17.0,246.0,1178.0,2000.0,Unknown,AMD,,,
894,Intel Pentium E6600,CPU,2010-01-17,45.0,65.0,82.0,228.0,3067.0,Intel,Intel,,,
895,AMD Athlon 64 LE-1620,CPU,2007-10-08,90.0,45.0,3.0,154.0,2400.0,Unknown,AMD,,,
896,AMD FX-4120,CPU,2012-10-23,32.0,95.0,315.0,1200.0,3900.0,Unknown,AMD,,,
897,Intel Celeron 2950M,CPU,2013-09-01,22.0,37.0,118.0,1400.0,2000.0,Intel,Intel,,,
898,AMD Athlon XP 1800+,CPU,2001-01-01,130.0,51.0,80.0,37.0,1533.0,Unknown,AMD,,,
899,Intel Core i7-4980HQ,CPU,2013-09-01,22.0,47.0,264.0,1400.0,2800.0,Intel,Intel,,,
900,Intel Core i7-6950X,CPU,2016-05-31,14.0,140.0,,3800.0,3000.0,Intel,Intel,,,
901,Intel Core 2 Quad Q8300,CPU,2008-11-30,45.0,95.0,82.0,456.0,2500.0,Intel,Intel,,,
902,Intel Pentium E6500K,CPU,2009-08-09,45.0,65.0,82.0,228.0,2933.0,Intel,Intel,,,
903,Intel Mobile Pentium 4 HT 532,CPU,2004-06-01,90.0,88.0,112.0,125.0,3067.0,Intel,Intel,,,
904,Intel Core 2 Duo E8300,CPU,2008-04-01,45.0,65.0,107.0,410.0,2833.0,Intel,Intel,,,
905,AMD Athlon XP 2600+,CPU,2002-08-21,130.0,68.0,80.0,37.0,2083.0,Unknown,AMD,,,
906,Intel Core i9-9900KF,CPU,2019-01-08,14.0,95.0,180.0,,3600.0,Intel,Intel,,,
907,Intel Pentium Gold G6505T,CPU,2021-03-16,14.0,35.0,,,3600.0,Intel,Intel,,,
908,AMD Phenom II X4 B97,CPU,2010-05-11,45.0,95.0,258.0,758.0,3200.0,Unknown,AMD,,,
909,AMD Athlon XP 2800+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2083.0,Unknown,AMD,,,
910,Intel Celeron G3930T,CPU,2017-01-03,14.0,35.0,,,2700.0,Intel,Intel,,,
911,Intel Core i7-9700,CPU,2019-04-23,14.0,65.0,,,3000.0,Intel,Intel,,,
912,AMD Athlon 64 3400+,CPU,2001-01-01,130.0,89.0,193.0,105.0,2400.0,Unknown,AMD,,,
913,Intel Atom E3845,CPU,2013-10-08,22.0,10.0,,,1910.0,Intel,Intel,,,
914,AMD Phenom II X4 850,CPU,2011-06-01,45.0,95.0,169.0,300.0,3300.0,Unknown,AMD,,,
915,AMD Opteron 248,CPU,2003-11-17,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,
916,AMD A10-7850K,CPU,2014-01-14,28.0,95.0,246.0,1178.0,3700.0,Unknown,AMD,,,
917,AMD EPYC 7452,CPU,2019-08-07,7.0,155.0,74.0,3800.0,2200.0,TSMC,AMD,,,
918,Intel Core i7-950,CPU,2009-06-02,45.0,130.0,263.0,731.0,3066.0,Intel,Intel,,,
919,Intel Core i3-370M,CPU,2010-06-20,32.0,35.0,81.0,382.0,2400.0,Intel,Intel,,,
920,Intel Celeron D 335,CPU,2004-06-24,90.0,84.0,109.0,125.0,2800.0,Intel,Intel,,,
921,AMD Ryzen 9 5900X,CPU,2020-11-05,7.0,105.0,,,3700.0,TSMC,AMD,,,
922,Intel Core i3-3220T,CPU,2012-09-03,22.0,35.0,94.0,,2800.0,Intel,Intel,,,
923,AMD Phenom II X2 555 BE,CPU,2010-01-25,45.0,80.0,258.0,758.0,3200.0,Unknown,AMD,,,
924,AMD Opteron 242,CPU,2004-12-01,90.0,85.0,,106.0,1600.0,Unknown,AMD,,,
925,Intel Pentium M 740,CPU,2005-01-19,90.0,27.0,84.0,140.0,1730.0,Intel,Intel,,,
926,Intel Core i7-6700K,CPU,2015-08-01,14.0,95.0,,,4000.0,Intel,Intel,,,
927,AMD Athlon X2 7550,CPU,2008-12-15,65.0,95.0,285.0,450.0,2500.0,Unknown,AMD,,,
928,Intel Core i5-8300H,CPU,2018-04-02,14.0,45.0,126.0,,2300.0,Intel,Intel,,,
929,Intel Core i9-8950HK,CPU,2018-04-02,14.0,95.0,149.0,,2900.0,Intel,Intel,,,
930,Intel Xeon E7-8880L v3,CPU,2015-06-01,22.0,115.0,160.0,1400.0,2000.0,Intel,Intel,,,
931,Intel Xeon E3-1285 v4,CPU,2015-06-02,14.0,95.0,160.0,1400.0,3500.0,Intel,Intel,,,
932,AMD A4-3400,CPU,2011-09-07,32.0,65.0,228.0,1178.0,2700.0,Unknown,AMD,,,
933,Intel Atom E3826,CPU,2013-10-08,22.0,7.0,,,1467.0,Intel,Intel,,,
934,AMD Ryzen 9 3950X,CPU,2019-11-14,7.0,105.0,74.0,3800.0,3500.0,TSMC,AMD,,,
935,Intel Xeon MP 3.16,CPU,2005-03-29,90.0,135.0,,,3167.0,Intel,Intel,,,
936,AMD FX-4170,CPU,2012-02-27,32.0,125.0,315.0,1200.0,4200.0,Unknown,AMD,,,
937,AMD Mobile Athlon 64 2800+,CPU,2004-08-01,130.0,62.0,193.0,106.0,1800.0,Unknown,AMD,,,
938,AMD Ryzen 5 2600,CPU,2018-04-19,12.0,65.0,192.0,4800.0,3400.0,GF,AMD,,,
939,Intel Xeon E5-2692 v2,CPU,2013-09-01,22.0,100.0,160.0,1400.0,2200.0,Intel,Intel,,,
940,Intel Core i7-3930K,CPU,2011-11-14,32.0,130.0,435.0,2270.0,3200.0,Intel,Intel,,,
941,Intel Celeron 2.0,CPU,2002-09-18,130.0,73.0,146.0,55.0,2000.0,Intel,Intel,,,
942,Intel Core 2 Quad Q9300,CPU,2008-03-10,45.0,95.0,82.0,456.0,2500.0,Intel,Intel,,,
943,Intel Pentium G6950,CPU,2010-01-07,32.0,73.0,81.0,382.0,2800.0,Intel,Intel,,,
944,Intel Mobile Pentium 4 HT 2.66,CPU,2003-09-23,130.0,66.0,131.0,55.0,2667.0,Intel,Intel,,,
945,Intel Core i7-3630QM,CPU,2012-09-01,22.0,45.0,160.0,1480.0,2400.0,Intel,Intel,,,
946,Intel Core i7-2700K,CPU,2011-10-24,32.0,95.0,216.0,1160.0,3500.0,Intel,Intel,,,
947,AMD Opteron 850,CPU,2004-05-18,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,
948,AMD Ryzen 5 4600HS,CPU,2020-01-06,7.0,35.0,156.0,9800.0,3000.0,TSMC,AMD,,,
949,AMD Sempron 3100+,CPU,2005-07-15,90.0,62.0,,69.0,1800.0,Unknown,AMD,,,
950,Intel Core i7-9700F,CPU,2019-04-23,14.0,65.0,,,3000.0,Intel,Intel,,,
951,Intel Pentium D 965 EE,CPU,2006-03-26,65.0,130.0,140.0,376.0,3730.0,Intel,Intel,,,
952,AMD Athlon 64 3000+,CPU,2001-01-01,90.0,51.0,84.0,69.0,2000.0,Unknown,AMD,,,
953,Intel Core 2 Duo T7600,CPU,2006-07-27,65.0,35.0,143.0,293.0,2333.0,Intel,Intel,,,
954,Intel Core i3-4102E,CPU,2013-09-04,22.0,25.0,118.0,1400.0,1600.0,Intel,Intel,,,
955,AMD Opteron 246 HE,CPU,2005-03-01,90.0,55.0,,106.0,2000.0,Unknown,AMD,,,
956,AMD Phenom X3 8450e,CPU,2008-09-08,65.0,65.0,285.0,450.0,2100.0,Unknown,AMD,,,
957,Intel Pentium G860T,CPU,2012-06-03,32.0,35.0,131.0,504.0,2600.0,Intel,Intel,,,
958,AMD Ryzen 7 2700U,CPU,2017-10-26,14.0,15.0,246.0,,2200.0,GF,AMD,,,
959,Intel Pentium 4 HT 3.4E,CPU,2004-04-01,90.0,115.0,109.0,125.0,3400.0,Intel,Intel,,,
960,Intel Core i3-9100F,CPU,2019-04-23,14.0,65.0,,,3600.0,Intel,Intel,,,
961,AMD Phenom II X4 810,CPU,2009-02-09,45.0,95.0,258.0,758.0,2600.0,Unknown,AMD,,,
962,Intel Core i3-6300,CPU,2015-09-01,14.0,51.0,150.0,1400.0,3800.0,Intel,Intel,,,
963,Intel Xeon E7-8867 v3,CPU,2015-06-01,22.0,165.0,160.0,1400.0,2500.0,Intel,Intel,,,
964,Intel Pentium E5800,CPU,2010-11-28,45.0,65.0,82.0,228.0,3200.0,Intel,Intel,,,
965,Intel Xeon W3530,CPU,2010-03-16,45.0,130.0,263.0,731.0,2800.0,Intel,Intel,,,
966,Intel Pentium Gold G5620,CPU,2019-02-20,14.0,51.0,,,4000.0,Intel,Intel,,,
967,AMD Opteron 846 HE,CPU,2004-05-18,130.0,55.0,193.0,106.0,2000.0,Unknown,AMD,,,
968,AMD Phenom X3 8750 BE,CPU,2008-09-08,65.0,95.0,285.0,450.0,2400.0,Unknown,AMD,,,
969,AMD A6-3620,CPU,2011-12-20,32.0,65.0,228.0,1178.0,2200.0,Unknown,AMD,,,
970,AMD A6-5345M,CPU,2013-06-01,32.0,17.0,246.0,1178.0,2200.0,Unknown,AMD,,,
971,AMD A10-7700K,CPU,2014-01-14,28.0,95.0,246.0,1178.0,3500.0,Unknown,AMD,,,
972,AMD EPYC 7313P,CPU,2021-03-15,7.0,155.0,,,3000.0,TSMC,AMD,,,
973,Intel Core i7-1165G7,CPU,2020-09-02,10.0,28.0,,,2800.0,Intel,Intel,,,
974,AMD E-450,CPU,2011-08-22,40.0,18.0,75.0,,1650.0,Unknown,AMD,,,
975,AMD Athlon 64 X2 3600+ EE,CPU,2006-08-01,90.0,65.0,220.0,154.0,2000.0,Unknown,AMD,,,
976,AMD Ryzen 5 3500U,CPU,2019-01-06,12.0,15.0,210.0,4940.0,2100.0,GF,AMD,,,
977,Intel Pentium 4 1.6,CPU,2001-08-27,180.0,61.0,217.0,42.0,1600.0,Intel,Intel,,,
978,Intel Pentium G3250T,CPU,2014-07-21,22.0,35.0,177.0,1400.0,2800.0,Intel,Intel,,,
979,Intel Core i3-4340,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3600.0,Intel,Intel,,,
980,Intel Pentium 4 HT 3.0E,CPU,2004-02-01,90.0,115.0,109.0,125.0,3000.0,Intel,Intel,,,
981,Intel Core i3-2125,CPU,2011-09-04,32.0,65.0,131.0,504.0,3300.0,Intel,Intel,,,
982,Intel Pentium M 1.60,CPU,2003-03-12,130.0,24.0,100.0,77.0,1600.0,Intel,Intel,,,
983,Intel Pentium 4 HT 541,CPU,2005-06-12,90.0,84.0,109.0,125.0,3200.0,Intel,Intel,,,
984,AMD Mobile Athlon 64 3200+,CPU,2004-08-01,130.0,62.0,193.0,106.0,2000.0,Unknown,AMD,,,
985,Intel Pentium D 925,CPU,2006-10-01,65.0,95.0,140.0,376.0,3000.0,Intel,Intel,,,
986,AMD Athlon II X4 600e,CPU,2009-10-20,45.0,45.0,169.0,300.0,2200.0,Unknown,AMD,,,
987,Intel Core i7-4650U,CPU,2013-06-04,22.0,15.0,118.0,1300.0,1700.0,Intel,Intel,,,
988,Intel Core i5-3360M,CPU,2012-06-01,22.0,35.0,118.0,,2800.0,Intel,Intel,,,
989,AMD Opteron 844,CPU,2004-12-01,90.0,85.0,,106.0,1800.0,Unknown,AMD,,,
990,AMD Opteron X2 870 HE,CPU,2005-12-01,90.0,55.0,,233.0,2000.0,Unknown,AMD,,,
991,AMD Athlon 64 LE-1640,CPU,2008-04-01,65.0,45.0,77.0,122.0,2700.0,Unknown,AMD,,,
992,AMD Sempron 2400+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1667.0,Unknown,AMD,,,
993,AMD Turion 64 ML-37,CPU,2005-03-10,90.0,35.0,125.0,114.0,2000.0,Unknown,AMD,,,
994,Intel Pentium III 1133S,CPU,2001-06-01,130.0,29.0,80.0,44.0,1133.0,Intel,Intel,,,
995,AMD Opteron X2 285,CPU,2006-03-06,90.0,95.0,,233.0,2600.0,Unknown,AMD,,,
996,Intel Core 2 Duo T7250,CPU,2007-09-27,65.0,35.0,111.0,293.0,2000.0,Intel,Intel,,,
997,Intel Core i3-4005U,CPU,2013-09-04,22.0,15.0,118.0,1400.0,1700.0,Intel,Intel,,,
998,Intel Pentium 4 1.4,CPU,2000-11-20,180.0,55.0,217.0,42.0,1400.0,Intel,Intel,,,
999,Intel Atom N270,CPU,2008-06-03,45.0,3.0,26.0,47.0,1600.0,Intel,Intel,,,
1000,Intel Core i9-10900X,CPU,2019-10-19,14.0,165.0,,,3700.0,Intel,Intel,,,
1001,AMD A8-5550M,CPU,2013-06-01,32.0,35.0,246.0,1178.0,2100.0,Unknown,AMD,,,
1002,Intel Core i5-8265U,CPU,2018-10-01,14.0,28.0,123.0,,1600.0,Intel,Intel,,,
1003,Intel Core i7-10875H,CPU,2020-04-02,14.0,45.0,,,2100.0,Intel,Intel,,,
1004,AMD Athlon 64 X2 4000+ EE,CPU,2006-05-23,90.0,65.0,220.0,154.0,2000.0,Unknown,AMD,,,
1005,Intel Xeon Platinum 8360HL,CPU,2021-04-06,14.0,225.0,,,3000.0,Intel,Intel,,,
1006,AMD A6-9220C SoC,CPU,2019-01-07,28.0,6.0,124.0,1200.0,1800.0,Unknown,AMD,,,
1007,Intel Pentium M 1.50,CPU,2003-03-12,130.0,24.0,100.0,77.0,1500.0,Intel,Intel,,,
1008,Intel Xeon Phi 7120P,CPU,2013-06-17,22.0,300.0,350.0,5000.0,1238.0,Intel,Intel,,,
1009,AMD Sempron 2800+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1600.0,Unknown,AMD,,,
1010,Intel Pentium Dual-Core T4200,CPU,2009-01-01,45.0,35.0,107.0,410.0,2000.0,Intel,Intel,,,
1011,Intel Core 2 Duo E6300,CPU,2006-07-27,65.0,65.0,143.0,291.0,1866.0,Intel,Intel,,,
1012,AMD Athlon 64 X2 4000+,CPU,2006-12-05,65.0,65.0,126.0,154.0,2100.0,Unknown,AMD,,,
1013,Intel Core i7-8559U,CPU,2018-04-05,14.0,28.0,123.0,,2700.0,Intel,Intel,,,
1014,AMD Athlon XP-M 2600+,CPU,2001-01-01,130.0,45.0,101.0,63.0,2000.0,Unknown,AMD,,,
1015,Intel Core i3-7300T,CPU,2017-01-03,14.0,35.0,,,3500.0,Intel,Intel,,,
1016,Intel Pentium D 935,CPU,2007-01-01,65.0,95.0,140.0,376.0,3200.0,Intel,Intel,,,
1017,AMD Athlon XP 2100+,CPU,2002-03-13,180.0,72.0,150.0,37.0,1733.0,Unknown,AMD,,,
1018,Intel Pentium G645T,CPU,2012-09-02,32.0,35.0,131.0,504.0,2500.0,Intel,Intel,,,
1019,Intel Core Duo T2050,CPU,2005-05-01,65.0,31.0,90.0,151.0,1600.0,Intel,Intel,,,
1020,AMD Athlon 64 3200+,CPU,2003-09-23,130.0,89.0,193.0,105.0,2000.0,Unknown,AMD,,,
1021,Intel Pentium G3220,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3000.0,Intel,Intel,,,
1022,Intel Pentium 4 HT 516,CPU,2001-01-01,90.0,84.0,109.0,125.0,2933.0,Intel,Intel,,,
