Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
257,AMD Athlon II X2 250,CPU,2009-06-02,45.0,65.0,117.0,410.0,3000.0,Unknown,AMD,,,
258,AMD FX-6200,CPU,2012-02-27,32.0,125.0,315.0,1200.0,3800.0,Unknown,AMD,,,
259,AMD Opteron 848,CPU,2004-05-18,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,
260,AMD Phenom X4 9350e,CPU,2008-07-01,65.0,65.0,285.0,450.0,2000.0,Unknown,AMD,,,
262,AMD Athlon II X4 635,CPU,2010-01-25,45.0,95.0,169.0,300.0,2900.0,Unknown,AMD,,,
265,AMD Opteron X1150,CPU,2013-05-29,28.0,17.0,,,2000.0,Unknown,AMD,,,
267,AMD A12-9800E,CPU,2017-07-27,28.0,35.0,246.0,1178.0,3100.0,Unknown,AMD,,,
273,AMD A4-1250,CPU,2013-05-23,32.0,8.0,246.0,1178.0,1000.0,Unknown,AMD,,,
275,AMD Ryzen 7 1700X,CPU,2017-03-02,14.0,95.0,192.0,4800.0,3400.0,GF,AMD,,,
276,AMD A6-3650,CPU,2011-06-30,32.0,100.0,228.0,1178.0,2600.0,Unknown,AMD,,,
277,AMD Ryzen Embedded V1605B,CPU,2018-02-21,14.0,15.0,210.0,4950.0,2000.0,GF,AMD,,,
280,AMD Athlon 64 LE-1640,CPU,2009-01-07,90.0,45.0,3.0,154.0,2600.0,Unknown,AMD,,,
281,AMD Sempron 2800+,CPU,2004-07-28,90.0,25.0,,63.0,1600.0,Unknown,AMD,,,
282,AMD A10-5800B,CPU,2012-10-02,32.0,100.0,246.0,1178.0,3800.0,Unknown,AMD,,,
285,AMD Athlon 64 3800+,CPU,2004-06-01,130.0,89.0,144.0,69.0,2400.0,Unknown,AMD,,,
287,AMD Opteron 144,CPU,2005-08-02,90.0,67.0,,106.0,1800.0,Unknown,AMD,,,
290,AMD Phenom II X2 B57,CPU,2010-05-11,45.0,80.0,258.0,758.0,3200.0,Unknown,AMD,,,
293,AMD EPYC 7402,CPU,2019-08-07,7.0,180.0,74.0,3800.0,2800.0,TSMC,AMD,,,
296,AMD Opteron 6284 SE,CPU,2012-05-01,32.0,140.0,316.0,2400.0,2700.0,Unknown,AMD,,,
297,AMD Turion X2 RM-74,CPU,2008-12-01,65.0,35.0,,,2200.0,Unknown,AMD,,,
298,AMD Opteron 4340,CPU,2012-12-04,32.0,95.0,315.0,1200.0,3500.0,Unknown,AMD,,,
299,AMD Athlon 64 3700+,CPU,2005-04-14,130.0,83.0,,105.0,2400.0,Unknown,AMD,,,
300,AMD Athlon II X4 638,CPU,2012-02-06,32.0,65.0,228.0,1178.0,2700.0,Unknown,AMD,,,
301,AMD Sempron 3800+,CPU,2006-10-23,90.0,62.0,103.0,81.0,2200.0,Unknown,AMD,,,
303,AMD Athlon 800,CPU,2000-06-05,180.0,45.0,120.0,37.0,800.0,Unknown,AMD,,,
306,AMD FX-8350,CPU,2012-10-23,32.0,125.0,315.0,1200.0,4000.0,Unknown,AMD,,,
307,AMD Athlon 64 X2 4400+ EE,CPU,2006-05-23,90.0,65.0,220.0,154.0,2200.0,Unknown,AMD,,,
309,AMD Opteron 4386,CPU,2012-12-04,32.0,95.0,315.0,1200.0,3100.0,Unknown,AMD,,,
311,AMD Athlon X2 BE-2400,CPU,2007-10-08,65.0,45.0,126.0,154.0,2300.0,Unknown,AMD,,,
312,AMD Phenom II X4 920,CPU,2009-01-08,45.0,125.0,258.0,758.0,2800.0,Unknown,AMD,,,
314,AMD Sempron 2500+,CPU,2005-07-07,90.0,62.0,84.0,63.0,1400.0,Unknown,AMD,,,
316,AMD Sempron 3500+,CPU,2005-10-01,90.0,62.0,84.0,63.0,2000.0,Unknown,AMD,,,
317,AMD Opteron 250,CPU,2004-05-18,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,
320,AMD FX-8170,CPU,2012-10-23,32.0,125.0,315.0,1200.0,3900.0,Unknown,AMD,,,
321,AMD Opteron 850,CPU,2004-12-01,90.0,85.0,,106.0,2400.0,Unknown,AMD,,,
327,AMD Ryzen 5 2600X,CPU,2018-04-19,12.0,95.0,192.0,4800.0,3600.0,GF,AMD,,,
330,AMD Ryzen 7 4700U,CPU,2020-01-06,7.0,25.0,156.0,9800.0,1800.0,TSMC,AMD,,,
332,AMD Opteron 43GK HE,CPU,2012-12-04,32.0,65.0,315.0,1200.0,2600.0,Unknown,AMD,,,
333,AMD Athlon X2 7450,CPU,2008-12-15,65.0,95.0,285.0,450.0,2400.0,Unknown,AMD,,,
336,AMD Ryzen 5 1500X,CPU,2017-04-11,14.0,65.0,192.0,4800.0,3500.0,GF,AMD,,,
337,AMD Athlon 64 X2 4400+,CPU,2006-05-23,90.0,110.0,199.0,233.0,2200.0,Unknown,AMD,,,
338,AMD A4-4300M,CPU,2012-05-15,32.0,35.0,246.0,1303.0,2500.0,Unknown,AMD,,,
344,AMD Turion 64 MT-37,CPU,2005-08-08,90.0,25.0,125.0,114.0,2000.0,Unknown,AMD,,,
347,AMD Opteron 6376,CPU,2012-11-05,32.0,115.0,315.0,2400.0,2300.0,Unknown,AMD,,,
348,AMD EPYC 72F3,CPU,2021-03-15,7.0,180.0,,,3700.0,TSMC,AMD,,,
349,AMD Opteron 244,CPU,2003-08-05,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,
356,AMD Sempron 2800+,CPU,2005-07-15,90.0,25.0,,69.0,1600.0,Unknown,AMD,,,
358,AMD A4-3320M,CPU,2011-12-20,32.0,35.0,228.0,1178.0,2000.0,Unknown,AMD,,,
362,AMD Athlon II X2 250e,CPU,2010-09-21,45.0,45.0,117.0,410.0,3000.0,Unknown,AMD,,,
363,AMD Athlon 64 X2 6000+,CPU,2007-08-20,65.0,89.0,126.0,154.0,3100.0,Unknown,AMD,,,
364,AMD Athlon 64 LE-1620,CPU,2007-10-08,90.0,45.0,230.0,227.0,2400.0,Unknown,AMD,,,
366,AMD EPYC 7232P,CPU,2019-08-07,7.0,120.0,74.0,3800.0,3100.0,TSMC,AMD,,,
368,AMD Athlon II X2 220,CPU,2010-09-21,45.0,65.0,117.0,410.0,2800.0,Unknown,AMD,,,
369,AMD Opteron 4334,CPU,2012-12-04,32.0,95.0,315.0,1200.0,3100.0,Unknown,AMD,,,
376,AMD Athlon 900,CPU,2000-06-05,180.0,50.0,120.0,37.0,900.0,Unknown,AMD,,,
379,AMD FX-6350,CPU,2013-04-29,32.0,125.0,315.0,1200.0,3900.0,Unknown,AMD,,,
382,AMD EPYC 7742,CPU,2019-08-07,7.0,225.0,74.0,3800.0,2250.0,TSMC,AMD,,,
386,AMD Sempron LE-1150,CPU,2007-08-01,65.0,45.0,,,2000.0,Unknown,AMD,,,
387,AMD Phenom II X6 1090T BE,CPU,2010-04-27,45.0,125.0,346.0,904.0,3200.0,Unknown,AMD,,,
390,AMD Sempron 130,CPU,2011-08-01,45.0,45.0,117.0,234.0,2600.0,Unknown,AMD,,,
392,AMD Sempron 3100+,CPU,2005-05-03,90.0,62.0,,63.0,1800.0,Unknown,AMD,,,
394,AMD Sempron 2300+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1583.0,Unknown,AMD,,,
395,AMD A10-5700,CPU,2012-10-02,32.0,65.0,246.0,1178.0,3400.0,Unknown,AMD,,,
396,AMD A4-1350,CPU,2013-10-18,32.0,8.0,246.0,1178.0,1000.0,Unknown,AMD,,,
402,AMD Athlon 64 3800+,CPU,2006-05-23,90.0,62.0,183.0,154.0,2400.0,Unknown,AMD,,,
403,AMD Opteron 250,CPU,2004-12-01,90.0,85.0,,106.0,2400.0,Unknown,AMD,,,
404,AMD Athlon 64 X2 4600+ EE,CPU,2006-05-23,90.0,65.0,220.0,154.0,2400.0,Unknown,AMD,,,
406,AMD Athlon XP 2200+,CPU,2003-09-01,130.0,63.0,,63.0,1800.0,Unknown,AMD,,,
407,AMD Athlon 1200,CPU,2000-10-17,180.0,66.0,120.0,37.0,1200.0,Unknown,AMD,,,
409,AMD Athlon XP-M 2200+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1667.0,Unknown,AMD,,,
422,AMD Phenom II X3 B75,CPU,2009-10-01,45.0,95.0,258.0,758.0,3000.0,Unknown,AMD,,,
423,AMD Athlon 64 3000+,CPU,2004-04-27,130.0,89.0,144.0,69.0,1800.0,Unknown,AMD,,,
424,AMD Athlon 64 3200+,CPU,2001-01-01,130.0,89.0,193.0,105.0,2200.0,Unknown,AMD,,,
427,AMD Athlon 64 FX-51,CPU,2003-09-23,130.0,89.0,193.0,105.0,2200.0,Unknown,AMD,,,
429,AMD Athlon II X3 455,CPU,2010-12-07,45.0,95.0,169.0,300.0,3300.0,Unknown,AMD,,,
431,AMD Ryzen 7 2700,CPU,2018-04-19,12.0,65.0,192.0,4800.0,3200.0,GF,AMD,,,
434,AMD Athlon 750,CPU,2000-06-05,180.0,43.0,120.0,37.0,750.0,Unknown,AMD,,,
435,AMD Sempron 150,CPU,2010-12-07,45.0,45.0,117.0,234.0,2900.0,Unknown,AMD,,,
436,AMD Athlon 1200,CPU,2000-10-31,180.0,66.0,120.0,37.0,1200.0,Unknown,AMD,,,
440,AMD Mobile Athlon 64 3400+,CPU,2005-08-01,130.0,62.0,193.0,106.0,2200.0,Unknown,AMD,,,
441,AMD Opteron 6168,CPU,2010-03-29,45.0,115.0,346.0,1800.0,1900.0,Unknown,AMD,,,
442,AMD Athlon X2 QL-65,CPU,2008-12-01,65.0,35.0,,,2100.0,Unknown,AMD,,,
443,AMD Athlon XP 2800+ DTR,CPU,2001-01-01,130.0,68.0,101.0,63.0,2083.0,Unknown,AMD,,,
446,AMD C-50,CPU,2011-01-04,40.0,9.0,75.0,,1000.0,Unknown,AMD,,,
447,AMD Athlon 64 FX-74,CPU,2006-11-30,90.0,125.0,235.0,227.0,3000.0,Unknown,AMD,,,
449,AMD Turion 64 ML-40,CPU,2005-06-22,90.0,35.0,125.0,114.0,2200.0,Unknown,AMD,,,
452,AMD Phenom II X3 B73,CPU,2009-10-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,
453,AMD Ryzen 3 1300X,CPU,2017-07-27,14.0,65.0,192.0,4800.0,3400.0,GF,AMD,,,
457,AMD Athlon X2 4050e,CPU,2008-04-21,65.0,45.0,126.0,154.0,2100.0,Unknown,AMD,,,
459,AMD Ryzen 5 PRO 3500U,CPU,2019-04-08,12.0,15.0,210.0,4940.0,2100.0,GF,AMD,,,
462,AMD Athlon XP 2400+,CPU,2002-08-21,130.0,68.0,80.0,63.0,2000.0,Unknown,AMD,,,
463,AMD E1-2100,CPU,2013-05-23,32.0,9.0,246.0,1178.0,1000.0,Unknown,AMD,,,
464,AMD EPYC 7401P,CPU,2017-06-29,14.0,170.0,213.0,4800.0,2000.0,GF,AMD,,,
466,AMD Turion X2 Ultra ZM-87,CPU,2008-06-01,65.0,35.0,,,2400.0,Unknown,AMD,,,
471,AMD Phenom II X3 705e,CPU,2009-06-02,45.0,65.0,258.0,758.0,2500.0,Unknown,AMD,,,
473,AMD Athlon XP 3000+,CPU,2001-01-01,130.0,68.0,101.0,63.0,2100.0,Unknown,AMD,,,
474,AMD Phenom II X3 700e,CPU,2009-06-02,45.0,65.0,258.0,758.0,2400.0,Unknown,AMD,,,
475,AMD Opteron 842,CPU,2003-09-09,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,
476,AMD Sempron 3000+,CPU,2001-01-01,130.0,25.0,144.0,69.0,1800.0,Unknown,AMD,,,
479,AMD Opteron X2 270 HE,CPU,2005-12-01,90.0,55.0,,233.0,2000.0,Unknown,AMD,,,
481,AMD FX-8140,CPU,2012-10-23,32.0,95.0,315.0,1200.0,3200.0,Unknown,AMD,,,
484,AMD Ryzen 5 3400G,CPU,2019-07-07,12.0,65.0,210.0,4940.0,3700.0,GF,AMD,,,
486,AMD Athlon 64 X2 6000+,CPU,2007-02-20,90.0,125.0,220.0,227.0,3000.0,Unknown,AMD,,,
487,AMD Ryzen 3 PRO 4350GE,CPU,2020-07-21,7.0,35.0,,,3500.0,TSMC,AMD,,,
489,AMD EPYC 7272,CPU,2019-08-07,7.0,120.0,74.0,3800.0,2600.0,TSMC,AMD,,,
491,AMD Athlon 64 LE-1660,CPU,2008-05-01,65.0,45.0,77.0,122.0,2800.0,Unknown,AMD,,,
493,AMD Athlon 64 2800+,CPU,2004-04-27,130.0,89.0,144.0,69.0,1800.0,Unknown,AMD,,,
494,AMD Turion X2 Ultra ZM-88,CPU,2008-12-01,65.0,35.0,,,2500.0,Unknown,AMD,,,
498,AMD Ryzen 5 5600G,CPU,2021-04-13,7.0,65.0,,,3900.0,TSMC,AMD,,,
499,AMD Phenom X3 8400,CPU,2008-03-27,65.0,95.0,285.0,450.0,2100.0,Unknown,AMD,,,
502,AMD Ryzen Threadripper 1920X,CPU,2017-08-10,14.0,180.0,213.0,9600.0,3500.0,GF,AMD,,,
506,AMD EPYC 7551P,CPU,2017-06-29,14.0,180.0,213.0,4800.0,2000.0,GF,AMD,,,
507,AMD Athlon XP-M 2000+,CPU,2001-01-01,130.0,45.0,101.0,63.0,1533.0,Unknown,AMD,,,
509,AMD Ryzen 7 4700GE,CPU,2020-07-21,7.0,35.0,,,3100.0,TSMC,AMD,,,
510,AMD A6-3400M,CPU,2011-06-14,32.0,35.0,228.0,1178.0,1400.0,Unknown,AMD,,,
511,AMD EPYC 7451,CPU,2017-06-29,14.0,180.0,213.0,4800.0,2300.0,GF,AMD,,,
513,AMD Ryzen 7 PRO 3700U,CPU,2019-04-08,12.0,15.0,210.0,4940.0,2300.0,GF,AMD,,,
514,AMD Athlon 64 X2 5200+,CPU,2006-09-06,90.0,89.0,220.0,154.0,2600.0,Unknown,AMD,,,
515,AMD Athlon 64 X2 4200+,CPU,2006-05-23,90.0,89.0,220.0,154.0,2200.0,Unknown,AMD,,,
518,AMD Athlon II X2 260,CPU,2010-05-11,45.0,65.0,117.0,410.0,3200.0,Unknown,AMD,,,
520,AMD Opteron 840,CPU,2004-05-18,130.0,82.0,193.0,106.0,1400.0,Unknown,AMD,,,
521,AMD Athlon 64 X2 4600+,CPU,2008-04-22,65.0,65.0,126.0,154.0,2400.0,Unknown,AMD,,,
524,AMD A8-3850,CPU,2011-06-30,32.0,100.0,228.0,1178.0,2900.0,Unknown,AMD,,,
526,AMD Opteron 240 EE,CPU,2004-02-14,130.0,30.0,193.0,106.0,1400.0,Unknown,AMD,,,
527,AMD Opteron 3380,CPU,2012-12-04,32.0,65.0,315.0,1200.0,2600.0,Unknown,AMD,,,
536,AMD Athlon II X3 440,CPU,2010-01-25,45.0,95.0,169.0,300.0,3000.0,Unknown,AMD,,,
